Title,Year,Peak_AUS,Peak_AUT,Peak_FRA,Peak_GER,Peak_IRE,Peak_NZ,Peak_SWI,Peak_UK,Peak_US,Peak_USDance,Sales,Certifications,Album,Unnamed,Decade,Peak_BEL,Peak_SCO
"""Locomotion""[a]",1987,1,—,—,—,—,8,—,—,—,—,,ARIA: Platinum[18],Non-album single,,80,,
"""I Should Be So Lucky""",1987,1,4,4,1,1,3,1,1,28,10,"JPN: 30,140[19] UK: 702,850[20]",ARIA: Platinum[21] BPI: Gold[22] BVMI: Gold[23] SNEP: Silver[24],Kylie,,80,,
"""Got to Be Certain""",1988,1,—,9,6,4,2,8,2,—,—,"UK: 315,000[25]",ARIA: Gold[26] BPI: Silver[22] SNEP: Silver[24],Kylie,,80,,
"""The Loco-Motion""[a]",1988,—,3,5,3,1,—,2,2,3,12,"JPN: 24,530[19] UK: 434,000[20]",BPI: Gold[22] RIAA: Gold[27],Kylie,,80,,
"""Je ne sais pas pourquoi""",1988,11,—,15,14,2,9,24,2,—,—,"UK: 325,000[25]",BPI: Silver[22],Kylie,,80,,
"""Especially for You"" (with Jason Donovan)",1988,2,12,3,10,1,2,2,1,—,—,"UK: 1,090,000[20]",ARIA: Gold[28] BPI: Gold[22] SNEP: Silver[29],Ten Good Reasons,,80,,
"""It's No Secret""",1988,—,—,—,—,—,47,—,—,37,—,,,Kylie,,80,,
"""Turn It into Love""[b]",1988,—,—,—,—,—,—,—,—,—,—,"JPN: 46,320[19]",,Kylie,,80,,
"""Hand on Your Heart""",1989,4,—,8,17,1,15,6,1,—,—,"JPN: 9,000[19] UK: 494,000[20]",ARIA: Gold[28] BPI: Gold[22],Enjoy Yourself,,80,,
"""Wouldn't Change a Thing""",1989,6,—,19,24,—,21,27,2,—,—,"UK: 370,000[25]",ARIA: Gold[30],Enjoy Yourself,,80,,
"""Never Too Late""",1989,14,—,26,45,1,27,23,4,—,—,,BPI: Silver[22],Enjoy Yourself,,80,,
"""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.","""—"" denotes a title that did not chart, or was not released in that territory.",80,,
"""Tears on My Pillow""",1990,20,—,—,31,2,23,—,1,,—,"UK: 260,000[31]",BPI: Silver[22],Enjoy Yourself,,90,,
"""Better the Devil You Know""",1990,4,27,13,24,4,27,21,2,,—,"UK: 340,000[20]",ARIA: Gold[32] BPI: Silver[22],Rhythm of Love,,90,,
"""Step Back in Time""",1990,5,—,23,36,4,21,29,4,,—,,ARIA: Gold[30],Rhythm of Love,,90,,
"""What Do I Have to Do""",1991,11,—,50,48,7,—,,6,,—,,,Rhythm of Love,,90,,
"""Shocked""",1991,7,—,—,—,2,—,—,6,,—,,Rhythm of Love,,,90,,
"""Word Is Out""",1991,10,—,—,—,8,—,—,16,,—,,,Let's Get to It,,90,,
"""If You Were with Me Now"" (with Keith Washington)",1991,23,—,—,61,7,—,—,4,,—,,,Let's Get to It,,90,,
"""Give Me Just a Little More Time""",1992,24,—,—,51,6,—,—,2,,—,"UK: 325,000[25]",,Let's Get to It,,90,,
