track_id,track_name,track_danceability,track_energy,track_temp,track_loudness,track_disco_id,disco_id,disco_name,disco_release
6zxPowMr2gKSJzbCAhY36H,Magic (Intro) - From the Infinite Disco Livestream,0.341,0.432,70.727,-6.907,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
7uKEjZMEkTwPg8rFqxYIgY,Come into My World (Interlude) - From the Infinite Disco Livestream,0.184,0.501,95.681,-7.52,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
4sbZiAHbu9ZvLwh83ZDq4n,I Love It - From the Infinite Disco Livestream,0.6,0.846,119.948,-5.086,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
5JzyWCXPtpBBZyveTFPnS9,In Your Eyes - From the Infinite Disco Livestream,0.662,0.801,123.941,-5.954,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
7pjtz9ucObOWYdhrnJXbvh,Light Years - From the Infinite Disco Livestream,0.59,0.877,126.001,-6.491,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
4BszG7lMVSOpkzObxtJ1j9,Supernova - From the Infinite Disco Livestream,0.638,0.879,123.933,-5.678,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
4UpytgtXk9SDB383U39DIt,Light Years (Reprise) - From the Infinite Disco Livestream,0.249,0.635,65.225,-8.74,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
2wHXHr3pa0lxapPG41C7Tg,I Should Be so Lucky (Interlude) - From the Infinite Disco Livestream,0.35,0.221,102.561,-14.123,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
3Vd3nRriv6j5Phm2E4RiAX,Dance Floor Darling - From the Infinite Disco Livestream,0.449,0.777,107.234,-5.821,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
7esBOO0jqQOd6u4FUGmTRm,All the Lovers (with House Gospel Choir) - From the Infinite Disco Livestream,0.558,0.841,119.914,-5.962,7FuqPFZVmhRJ96S5XajcoJ,7FuqPFZVmhRJ96S5XajcoJ,Infinite Disco,2022-04-08
